invoice_id,brand,city,customer_type,gender,product_line,unit_price,quantity,tax,date,time,payment,cost,profit,rating
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,1/15/2019,16:19,Cash,562.32,28.116,4.5
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,3/10/2019,19:15,Ewallet,313.1,15.655,7
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,1/11/2019,13:57,Ewallet,291,14.55,9.4
131-70-8179,A,Yangon,Member,Female,Health and beauty,92.09,3,13.8135,2/17/2019,16:27,Cash,276.27,13.8135,4.2
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,3/11/2019,15:30,Ewallet,80.6,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,2/25/2019,11:24,Ewallet,430.2,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,3/5/2019,10:40,Ewallet,263.94,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,3/15/2019,12:20,Credit card,66.4,3.32,4.4
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,1/4/2019,13:21,Cash,104.85,5.2425,7.8
134-75-2619,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.762,3/25/2019,18:51,Cash,135.24,6.762,6.9
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,2/27/2019,16:10,Ewallet,701.37,35.0685,7.6
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,2/8/2019,15:31,Cash,33.52,1.676,6.7
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,2/15/2019,17:01,Credit card,559.68,27.984,6.4
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,1/25/2019,19:48,Cash,441.8,22.09,9.6
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,1/15/2019,15:42,Credit card,802.89,40.1445,6.5
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,2/25/2019,19:39,Credit card,470.65,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,1/28/2019,12:43,Cash,702.63,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,1/10/2019,14:49,Cash,670.24,33.512,5.1
139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,3/14/2019,14:19,Ewallet,877.32,43.866,7.4
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,2/6/2019,10:42,Ewallet,397.68,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,1/7/2019,12:28,Ewallet,68.12,3.406,6.8
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,1/5/2019,16:05,Credit card,282.96,14.148,4.4
146-09-5432,A,Yangon,Member,Male,Food and beverages,35.04,9,15.768,2/9/2019,19:17,Ewallet,315.36,15.768,4.6
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,3/23/2019,13:24,Ewallet,439.36,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,3/3/2019,13:01,Cash,240.96,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,1/17/2019,18:45,Ewallet,86.72,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,2/2/2019,10:11,Cash,112.22,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,2/8/2019,13:03,Cash,414.72,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,3/4/2019,20:39,Cash,789.6,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,3/16/2019,19:47,Cash,30.74,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,3/9/2019,18:00,Cash,375.84,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,2/27/2019,17:24,Credit card,510.21,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,2/6/2019,15:47,Ewallet,180.09,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,2/10/2019,12:45,Credit card,113.58,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,3/19/2019,17:08,Ewallet,826.3,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,2/3/2019,10:19,Cash,639.8,31.99,9.5
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,1/19/2019,14:08,Credit card,641.9,32.095,6.7
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,3/22/2019,14:42,Ewallet,71.48,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,1/25/2019,15:46,Credit card,15.43,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,3/7/2019,11:49,Ewallet,32.32,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,2/28/2019,19:01,Cash,687.84,34.392,8.2
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,2/14/2019,15:04,Cash,133.95,6.6975,6.2
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,2/13/2019,12:38,Ewallet,129,6.45,6.5
152-68-2907,A,Yangon,Normal,Male,Food and beverages,52.2,3,7.83,2/15/2019,13:30,Credit card,156.6,7.83,9.5
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,3/12/2019,20:36,Cash,183.66,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,2/15/2019,17:47,Credit card,74.22,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,2/24/2019,10:55,Ewallet,334.38,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,2/3/2019,13:40,Ewallet,495.63,24.7815,10
156-95-3964,A,Yangon,Normal,Female,Food and beverages,55.39,4,11.078,3/25/2019,15:19,Ewallet,221.56,11.078,8
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,2/14/2019,14:35,Cash,302.96,15.148,7.6
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,3/9/2019,18:24,Ewallet,519.4,25.97,6.5
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,2/10/2019,15:43,Ewallet,66.94,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,1/7/2019,15:01,Ewallet,585.66,29.283,9.9
160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95,5,23.9875,1/23/2019,14:21,Ewallet,479.75,23.9875,8.8
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,2/10/2019,15:10,Cash,222.95,11.1475,8.5
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,1/6/2019,12:46,Credit card,894.8,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,2/11/2019,16:19,Cash,621.2,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,3/5/2019,18:17,Ewallet,145.56,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,3/9/2019,18:21,Cash,455.46,22.773,8.7
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,1/18/2019,17:26,Cash,534.36,26.718,9.9
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,1/13/2019,17:04,Credit card,416.5,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,1/9/2019,14:20,Credit card,441.36,22.068,8.6
169-52-4504,A,Yangon,Normal,Female,Electronic accessories,15.69,3,2.3535,3/14/2019,14:13,Credit card,47.07,2.3535,5.8
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,3/5/2019,16:24,Ewallet,783.1,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,1/22/2019,18:56,Cash,101.9,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,1/21/2019,14:42,Credit card,595.14,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,1/26/2019,19:56,Ewallet,290.04,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,1/23/2019,18:37,Ewallet,154,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,2/23/2019,18:45,Credit card,321.44,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,3/9/2019,10:17,Cash,244.55,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,3/5/2019,14:31,Ewallet,581.42,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,3/25/2019,10:23,Cash,382.6,19.13,9.9
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,3/3/2019,17:01,Credit card,177.36,8.868,9.6
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,1/1/2019,20:26,Ewallet,108.16,5.408,6.9
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,2/27/2019,17:55,Cash,461.94,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,1/23/2019,10:25,Cash,189.52,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,1/26/2019,19:54,Ewallet,448.6,22.43,8.2
186-43-8965,A,Yangon,Member,Female,Home and lifestyle,47.68,2,4.768,2/24/2019,10:10,Credit card,95.36,4.768,4.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,3/12/2019,12:09,Credit card,579.24,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,2/6/2019,20:05,Credit card,89.75,4.4875,6.6
186-71-5196,A,Yangon,Member,Female,Food and beverages,79.54,2,7.954,3/27/2019,16:30,Ewallet,159.08,7.954,6.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,3/29/2019,10:25,Ewallet,878.7,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,2/9/2019,13:11,Cash,74.7,3.735,4.1
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,1/31/2019,13:47,Cash,83.08,4.154,4.7
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,3/5/2019,18:14,Cash,496.2,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,3/26/2019,19:20,Cash,48.71,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,3/1/2019,13:22,Cash,706.95,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,2/1/2019,11:27,Cash,207.63,10.3815,4.9
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,3/10/2019,12:17,Credit card,175.34,8.767,7.7
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,3/19/2019,18:19,Cash,212.45,10.6225,8
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,3/14/2019,12:07,Cash,696.85,34.8425,7.6
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,1/5/2019,20:54,Credit card,164.28,8.214,7.9
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,1/13/2019,12:55,Credit card,243.03,12.1515,9.3
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,3/24/2019,10:43,Cash,305.82,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,3/3/2019,14:30,Cash,819.7,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,2/5/2019,11:32,Ewallet,32.98,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,2/5/2019,10:41,Credit card,294.63,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,2/15/2019,12:44,Cash,509.88,25.494,8.4
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,3/6/2019,12:27,Credit card,158.1,7.905,8.6
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,2/1/2019,20:31,Credit card,727.11,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,3/2/2019,13:01,Credit card,81.06,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,3/5/2019,12:29,Ewallet,109.7,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,1/16/2019,15:26,Ewallet,51.36,2.568,5.2
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,1/5/2019,17:29,Ewallet,214.55,10.7275,6.1
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,1/20/2019,20:38,Ewallet,106.88,5.344,4.1
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,3/28/2019,16:44,Cash,349.56,17.478,9.9
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,1/12/2019,12:02,Credit card,399.84,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,3/9/2019,17:26,Credit card,899.64,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,3/13/2019,19:52,Credit card,511.28,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,3/9/2019,14:57,Ewallet,451.76,22.588,7.3
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.818,1/23/2019,10:28,Cash,396.36,19.818,7.3
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,3/20/2019,15:56,Cash,86.5,4.325,6.2
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,1/8/2019,16:17,Credit card,285.57,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,1/8/2019,15:57,Ewallet,548.32,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,2/8/2019,11:15,Ewallet,812.52,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,1/25/2019,13:18,Cash,277.34,13.867,7.5
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,1/5/2019,11:25,Cash,250.6,12.53,4.2
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,2/10/2019,18:36,Cash,139.36,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,2/17/2019,14:40,Credit card,524.7,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,3/8/2019,16:43,Ewallet,487.8,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,2/18/2019,19:39,Cash,270.66,13.533,6.2
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.863,3/29/2019,16:54,Ewallet,217.26,10.863,8.2
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,3/1/2019,18:14,Ewallet,69.46,3.473,9.7
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,2/16/2019,12:21,Cash,519.1,25.955,8.2
220-68-6701,A,Yangon,Normal,Female,Home and lifestyle,77.47,4,15.494,3/17/2019,16:36,Cash,309.88,15.494,4.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,1/23/2019,13:00,Credit card,898,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,1/25/2019,13:48,Cash,905,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,2/5/2019,19:57,Cash,686,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,2/22/2019,10:36,Credit card,30.41,1.5205,8.4
221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,3/4/2019,10:39,Cash,298.64,14.932,8.5
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,3/8/2019,17:11,Credit card,277.56,13.878,9.5
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,3/22/2019,19:20,Credit card,420.72,21.036,8.5
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,3/19/2019,12:46,Credit card,264.56,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,3/6/2019,15:07,Credit card,574.88,28.744,6.2
227-50-3718,A,Yangon,Normal,Male,Health and beauty,14.62,5,3.655,3/4/2019,12:23,Cash,73.1,3.655,4.4
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,3/23/2019,19:20,Credit card,366.16,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,3/11/2019,16:07,Credit card,241.92,12.096,7.3
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,1/24/2019,10:04,Cash,787.7,39.385,6.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,2/7/2019,18:23,Ewallet,98.88,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,1/28/2019,13:05,Cash,647.76,32.388,9.3
237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56,8,4.224,1/24/2019,17:43,Cash,84.48,4.224,7.6
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,1/4/2019,19:40,Cash,72.17,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,3/7/2019,13:58,Ewallet,251.4,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,3/30/2019,14:43,Ewallet,874.98,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,3/27/2019,19:18,Ewallet,560.34,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,1/19/2019,19:39,Credit card,345.44,17.272,8.3
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,3/27/2019,13:48,Credit card,259.68,12.984,4.9
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,1/21/2019,16:37,Ewallet,467.7,23.385,8
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,1/30/2019,19:42,Ewallet,152.8,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,2/20/2019,15:24,Credit card,399,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,2/25/2019,14:12,Ewallet,340.56,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1/16/2019,13:32,Cash,955.8,47.79,4.8
239-48-4278,A,Yangon,Member,Male,Food and beverages,10.13,7,3.5455,3/10/2019,19:35,Ewallet,70.91,3.5455,8.3
243-55-8457,A,Yangon,Normal,Female,Food and beverages,74.44,10,37.22,2/27/2019,11:40,Ewallet,744.4,37.22,5.1
247-11-2470,A,Yangon,Member,Female,Fashion accessories,22.32,4,4.464,3/1/2019,16:23,Credit card,89.28,4.464,4.4
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,1/3/2019,11:36,Ewallet,350.05,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,1/26/2019,12:45,Credit card,400.25,20.0125,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,3/3/2019,19:17,Cash,166.8,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,1/19/2019,17:34,Credit card,317.34,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,1/18/2019,12:04,Ewallet,158.32,7.916,8.7
250-17-5703,A,Yangon,Member,Male,Food and beverages,18.85,10,9.425,2/27/2019,18:24,Ewallet,188.5,9.425,5.6
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,2/7/2019,16:48,Ewallet,431.9,21.595,8.2
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,2/13/2019,10:50,Credit card,157.57,7.8785,4.8
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,3/12/2019,12:43,Credit card,688.8,34.44,8.7
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,1/28/2019,16:47,Ewallet,260.4,13.02,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,2/9/2019,10:00,Cash,449.82,22.491,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,1/23/2019,11:51,Cash,307.76,15.388,7.7
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,3/6/2019,12:46,Credit card,193.5,9.675,7.8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,1/25/2019,15:00,Ewallet,274.48,13.724,5.7
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,3/4/2019,19:48,Ewallet,226.12,11.306,5.5
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,3/5/2019,19:46,Ewallet,54.24,2.712,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,3/3/2019,19:00,Ewallet,755.92,37.796,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,2/8/2019,10:53,Cash,185.88,9.294,7
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,1/8/2019,17:12,Cash,200.92,10.046,9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,1/28/2019,20:50,Credit card,279.24,13.962,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,2/11/2019,10:39,Credit card,231.12,11.556,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,1/15/2019,13:41,Ewallet,147.04,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,3/16/2019,19:08,Cash,790.2,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,1/26/2019,20:23,Ewallet,102.2,5.11,5.7
258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68,5,8.92,2/6/2019,18:33,Credit card,178.4,8.92,6.6
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,1/13/2019,19:30,Cash,74.29,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,3/26/2019,18:03,Cash,87.4,4.37,4.9
263-12-5321,A,Yangon,Member,Male,Electronic accessories,92.6,7,32.41,2/27/2019,12:52,Credit card,648.2,32.41,9.3
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,3/12/2019,19:58,Credit card,166,8.3,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,2/17/2019,19:57,Credit card,356.95,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,1/29/2019,10:01,Credit card,114.9,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,3/15/2019,11:57,Cash,229.96,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,1/14/2019,10:02,Cash,429.87,21.4935,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,2/6/2019,14:51,Ewallet,259,12.95,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,2/15/2019,12:42,Credit card,88.85,4.4425,5.4
